subjects	S	flankers	R	rt
1	right	incongruent	right	0.640098879446738
1	right	incongruent	right	2.53223440960979
1	left	congruent	left	0.510970446557579
1	right	congruent	right	0.376156318780189
1	left	incongruent	left	0.557055974575186
1	right	incongruent	left	0.224309948310251
1	left	incongruent	left	0.293510408008515
1	right	incongruent	right	0.327705426956766
1	left	congruent	left	0.380236132289059
1	left	congruent	left	0.27843325749271
1	left	incongruent	left	1.02722606427193
1	right	incongruent	right	1.4935537083093
1	left	incongruent	right	0.752412486528741
1	left	congruent	left	0.414544505598164
1	left	congruent	right	0.365979270516228
1	right	congruent	right	0.704346267250274
1	right	incongruent	left	0.919434377869002
1	right	incongruent	right	0.761282568651872
1	left	incongruent	left	1.32235727899315
1	right	congruent	left	0.225010694320575
1	left	incongruent	left	0.358509526292014
1	right	incongruent	right	0.336604766276491
1	right	incongruent	left	0.508155026743669
1	left	incongruent	left	0.717352910511683
1	left	congruent	left	0.295546157839016
1	right	congruent	left	0.618335050115527
1	left	congruent	right	0.591967391109577
1	left	incongruent	right	0.258059361662798
1	left	congruent	left	0.567269639227517
1	right	congruent	right	0.20606775667808
1	right	congruent	left	1.06375820237676
1	left	incongruent	left	0.33452691247505
1	left	congruent	left	0.508988699751592
1	right	congruent	right	0.521459103153539
1	right	incongruent	right	0.333119696649146
1	right	congruent	right	0.506624312701209
1	left	incongruent	right	0.339347962788641
1	left	incongruent	left	0.573422848562491
1	right	incongruent	left	0.212420356644549
1	right	incongruent	right	0.204494054680267
1	right	congruent	right	0.309077382378323
1	left	congruent	left	0.315832483582246
1	right	incongruent	right	0.40646189438015
1	left	congruent	left	0.455324271810968
1	right	incongruent	right	0.415321117812148
1	right	congruent	left	0.445145118594073
1	left	incongruent	left	0.51420122721346
1	right	congruent	left	0.234376937537922
1	right	congruent	left	0.21733552237176
1	left	incongruent	left	0.975219470890336
1	left	incongruent	left	0.317168681030148
1	right	congruent	right	0.520967167197869
1	right	incongruent	right	0.312719865396783
1	right	incongruent	right	0.814744189030687
1	left	congruent	left	0.408929130496472
1	right	incongruent	right	0.283674771986688
1	right	congruent	right	0.226770119346955
1	left	congruent	left	0.519814496948301
1	right	congruent	right	0.358359354407647
1	right	incongruent	right	0.330053772678308
1	left	incongruent	left	0.45946931144777
1	left	incongruent	left	0.815842314116799
1	right	congruent	left	0.784575073270418
1	left	incongruent	left	0.738320923655126
1	left	incongruent	left	0.280573250680307
1	right	congruent	right	0.631646357295175
1	right	incongruent	right	0.200259280479634
1	left	incongruent	right	0.277206666161281
1	left	incongruent	left	0.297180952157123
1	left	incongruent	left	0.633894777767106
1	right	congruent	right	0.337634198119796
1	right	incongruent	right	0.414236053782224
1	left	congruent	left	1.00085191563643
1	right	congruent	right	0.364700651654415
1	right	congruent	right	0.271221112486123
1	right	incongruent	right	0.548064907872087
1	right	incongruent	right	0.593974207939193
1	left	congruent	left	0.322164720463607
1	left	incongruent	right	0.38821454895806
1	left	incongruent	left	0.28261886218396
1	left	congruent	left	0.563933199225706
1	left	congruent	right	0.546213480890465
1	right	incongruent	right	0.370829259430343
1	left	congruent	right	0.694774938332564
1	left	congruent	left	0.79064463252609
1	right	incongruent	right	0.223950017035319
1	right	congruent	left	0.244691878377782
1	right	incongruent	right	0.417062930161761
1	right	congruent	right	0.850769581835128
1	right	incongruent	right	0.359868835447232
1	right	congruent	right	0.498456420979326
1	left	congruent	left	0.191966693334057
1	right	congruent	right	0.302660607035786
1	right	congruent	right	0.281554863367929
1	left	incongruent	left	0.529199502232226
1	right	incongruent	left	0.372245958882985
1	right	congruent	right	0.330061945115187
1	right	congruent	right	0.679902388391041
1	right	congruent	right	0.219867603436129
1	left	congruent	left	0.53896678233198
1	left	congruent	left	0.242624382599935
1	right	congruent	right	0.98136543703865
1	right	incongruent	right	0.328113341393888
1	right	incongruent	right	0.349442915525083
1	right	congruent	right	1.38574517327994
1	right	congruent	right	0.210269545317747
1	right	incongruent	left	0.41309834941861
1	right	congruent	right	0.190651754545962
1	left	incongruent	left	0.782134931396785
1	left	incongruent	left	0.221808215644797
1	right	congruent	right	0.82444325580244
1	left	congruent	left	0.379924782587455
1	left	congruent	left	0.197824824113824
1	right	incongruent	right	0.563198343309804
1	right	congruent	right	0.179376799144534
1	left	congruent	right	0.672491932224233
1	left	incongruent	right	0.249238245828922
1	left	incongruent	left	0.447303925449042
1	left	incongruent	right	0.437544222126183
1	left	incongruent	left	0.765837445387852
1	right	congruent	right	0.651144211809535
1	left	congruent	left	0.84844037605348
1	left	congruent	right	0.239728410189994
1	left	congruent	left	0.343678542910086
1	right	incongruent	right	0.292746101017095
1	right	congruent	right	0.511114069594836
1	left	incongruent	left	0.383902009657379
1	right	congruent	left	0.228798623610272
1	left	incongruent	right	0.223352966995832
